IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.214.134,4,4,0.00,145.44,72.55
104.19.34.60,4,4,0.00,145.35,72.53
104.17.146.65,4,4,0.00,145.34,72.49
104.19.13.56,4,4,0.00,145.51,72.41
104.19.53.83,4,4,0.00,145.41,72.39
104.19.56.10,4,4,0.00,145.48,72.13
104.19.221.25,4,4,0.00,145.34,72.07
104.19.15.166,4,4,0.00,145.58,72.04
104.18.103.16,4,4,0.00,145.56,72.00
104.17.238.167,4,4,0.00,144.98,71.62
104.17.180.129,4,4,0.00,145.20,71.48
104.19.121.74,4,4,0.00,144.99,71.48
104.16.89.209,4,4,0.00,145.15,71.43
104.19.114.159,4,4,0.00,145.53,70.86
104.19.232.45,4,4,0.00,145.22,70.75
104.17.95.54,4,4,0.00,145.44,69.86
104.16.62.142,4,4,0.00,145.50,69.77
104.18.42.93,4,4,0.00,145.51,68.96
104.16.228.251,4,4,0.00,144.98,66.58
104.19.65.37,4,4,0.00,144.68,54.93
